,Job Title,Rating,Company Name,Location,Sector,avg Salary,avg size,Founded
0,Senior Data Scientist,3.5,"Hopper
3.5","New York, NY",Travel & Tourism,146000.0,1000.0,2007
1,"Data Scientist, Product Analytics",4.5,"Noom US
4.5","New York, NY",Consumer Services,146000.0,5000.0,2008
2,Data Science Manager,-1.0,Decode_M,"New York, NY",-1,146000.0,50.0,-1
3,Data Analyst,3.4,"Sapphire Digital
3.4","Lyndhurst, NJ",Information Technology,146000.0,500.0,2019
4,"Director, Data Science",3.4,"United Entertainment Group
3.4","New York, NY",Business Services,146000.0,200.0,2007
5,Data Scientist,2.9,"IFG Companies
2.9","New York, NY",Insurance,146000.0,500.0,1985
6,Quantitative Researcher,4.4,"PDT Partners
4.4","New York, NY",Finance,146000.0,200.0,1993
7,Quantitative Research Associate,-1.0,Enlightenment Research,"New York, NY",-1,146000.0,50.0,-1
8,AI Scientist,5.0,"Paige
5.0","New York, NY",Information Technology,146000.0,50.0,2018
9,Quantitative Researcher,4.8,"Jane Street
4.8","New York, NY",Finance,146000.0,1000.0,2000
10,Data Scientist,3.9,"Quartet Health
3.9","New York, NY",Information Technology,146000.0,500.0,2014
11,Data Scientist/Machine Learning,4.4,"PulsePoint
4.4","New York, NY",Information Technology,146000.0,200.0,2011
12,"Data Scientist, Acorn AI Labs",4.3,"Medidata Solutions
4.3","New York, NY",Information Technology,146000.0,5000.0,1999
13,Data Scientist,3.9,"Point72
3.9","New York, NY",Finance,146000.0,5000.0,2014
14,Data Scientist - Alpha Insights,4.4,"Two Sigma
4.4","New York, NY",Finance,146000.0,5000.0,2001
15,Data Scientist,3.0,"Affinity Solutions
3.0","New York, NY",Business Services,146000.0,200.0,1998
16,"Data Scientist, Analytics",3.6,"Etsy
3.6","Brooklyn, NY",Retail,146000.0,1000.0,2005
17,Data Scientist/ML Engineer,3.3,"PA Consulting
3.3","New York, NY",Business Services,146000.0,5000.0,1943
18,Data Scientist,3.6,"Etsy
3.6","New York, NY",Retail,146000.0,1000.0,2005
19,"VP, Data Science",3.9,"7Park Data
3.9","New York, NY",Business Services,146000.0,200.0,2012
20,"Data Scientist, Disney+ Personalization",4.0,"Walt Disney Co.
4.0","New York, NY",Media,146000.0,,1923
21,"Senior Data Scientist, Data Science Operations",3.4,"Squarespace
3.4","New York, NY",Information Technology,146000.0,5000.0,2003
