,Job Title,Rating,Company Name,state,Sector,avg Salary,avg size,Founded,latitude,longitude,name
0,Senior Data Scientist,3.5,"Hopper
3.5",NY,Travel & Tourism,146000.0,1000.0,2007,43.299428,-74.217933,New York
1,"Data Scientist, Product Analytics",4.5,"Noom US
4.5",NY,Consumer Services,146000.0,5000.0,2008,43.299428,-74.217933,New York
2,Data Science Manager,-1.0,Decode_M,NY,-1,146000.0,50.0,-1,43.299428,-74.217933,New York
3,"Director, Data Science",3.4,"United Entertainment Group
3.4",NY,Business Services,146000.0,200.0,2007,43.299428,-74.217933,New York
4,Data Scientist,2.9,"IFG Companies
2.9",NY,Insurance,146000.0,500.0,1985,43.299428,-74.217933,New York
5,Quantitative Researcher,4.4,"PDT Partners
4.4",NY,Finance,146000.0,200.0,1993,43.299428,-74.217933,New York
6,Quantitative Research Associate,-1.0,Enlightenment Research,NY,-1,146000.0,50.0,-1,43.299428,-74.217933,New York
7,AI Scientist,5.0,"Paige
5.0",NY,Information Technology,146000.0,50.0,2018,43.299428,-74.217933,New York
8,Quantitative Researcher,4.8,"Jane Street
4.8",NY,Finance,146000.0,1000.0,2000,43.299428,-74.217933,New York
9,Data Scientist,3.9,"Quartet Health
3.9",NY,Information Technology,146000.0,500.0,2014,43.299428,-74.217933,New York
10,Data Scientist/Machine Learning,4.4,"PulsePoint
4.4",NY,Information Technology,146000.0,200.0,2011,43.299428,-74.217933,New York
11,"Data Scientist, Acorn AI Labs",4.3,"Medidata Solutions
4.3",NY,Information Technology,146000.0,5000.0,1999,43.299428,-74.217933,New York
12,Data Scientist,3.9,"Point72
3.9",NY,Finance,146000.0,5000.0,2014,43.299428,-74.217933,New York
13,Data Scientist - Alpha Insights,4.4,"Two Sigma
4.4",NY,Finance,146000.0,5000.0,2001,43.299428,-74.217933,New York
14,Data Scientist,3.0,"Affinity Solutions
3.0",NY,Business Services,146000.0,200.0,1998,43.299428,-74.217933,New York
15,"Data Scientist, Analytics",3.6,"Etsy
3.6",NY,Retail,146000.0,1000.0,2005,43.299428,-74.217933,New York
16,Data Scientist/ML Engineer,3.3,"PA Consulting
3.3",NY,Business Services,146000.0,5000.0,1943,43.299428,-74.217933,New York
17,Data Scientist,3.6,"Etsy
3.6",NY,Retail,146000.0,1000.0,2005,43.299428,-74.217933,New York
18,"VP, Data Science",3.9,"7Park Data
3.9",NY,Business Services,146000.0,200.0,2012,43.299428,-74.217933,New York
19,"Data Scientist, Disney+ Personalization",4.0,"Walt Disney Co.
4.0",NY,Media,146000.0,,1923,43.299428,-74.217933,New York
20,"Senior Data Scientist, Data Science Operations",3.4,"Squarespace
3.4",NY,Information Technology,146000.0,5000.0,2003,43.299428,-74.217933,New York
21,Quantitative Researcher – Intern (US),4.1,"Citadel Securities
4.1",NY,Finance,146000.0,500.0,2002,43.299428,-74.217933,New York
22,Senior Data Engineer (Healthcare Domain experience required),3.4,"Enterprise Integration
3.4",NY,Information Technology,146000.0,200.0,1998,43.299428,-74.217933,New York
23,Data Scientist,4.4,"WITHIN
4.4",NY,Business Services,146000.0,200.0,2015,43.299428,-74.217933,New York
24,"Data Scientist, Marketplace Economics",3.8,"Spotify
3.8",NY,Information Technology,146000.0,5000.0,2006,43.299428,-74.217933,New York
25,Data Scientist,4.1,"Datadog
4.1",NY,Information Technology,146000.0,5000.0,2010,43.299428,-74.217933,New York
26,Lead Data Scientist,3.3,"Aetna
3.3",NY,Insurance,146000.0,,1853,43.299428,-74.217933,New York
27,"Data Scientist, Personalization",5.0,"Hungryroot
5.0",NY,Consumer Services,146000.0,50.0,2015,43.299428,-74.217933,New York
28,Principal Data Scientist,3.3,"Aetna
3.3",NY,Insurance,146000.0,,1853,43.299428,-74.217933,New York
29,Data Scientist,4.3,"Caserta
4.3",NY,Information Technology,130000.0,200.0,2001,43.299428,-74.217933,New York
30,"Data Scientist, Decisions",3.7,"Lyft
3.7",NY,Information Technology,130000.0,10000.0,2012,43.299428,-74.217933,New York
31,Data Scientist,4.3,"IBG LLC
4.3",NY,Finance,130000.0,500.0,1990,43.299428,-74.217933,New York
32,Data Scientist,3.0,"CLEAR
3.0",NY,Business Services,130000.0,5000.0,2010,43.299428,-74.217933,New York
33,Data Science Analyst,3.7,"GNY Insurance Companies
3.7",NY,Insurance,130000.0,500.0,1914,43.299428,-74.217933,New York
34,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",3.4,"Squarespace
3.4",NY,Information Technology,130000.0,5000.0,2003,43.299428,-74.217933,New York
35,Data Scientist,3.5,"Andiamo
3.5",NY,"Restaurants, Bars & Food Services",130000.0,500.0,-1,43.299428,-74.217933,New York
36,Data Scientist,4.2,"infarm
4.2",NY,Retail,130000.0,1000.0,2013,43.299428,-74.217933,New York
37,Data Scientist for Alpha Insights,3.5,"Andiamo
3.5",NY,"Restaurants, Bars & Food Services",130000.0,500.0,-1,43.299428,-74.217933,New York
38,"Data Scientist, Analytics",4.6,"Bowery Farming
4.6",NY,Agriculture & Forestry,130000.0,200.0,2015,43.299428,-74.217933,New York
39,Data Scientist,4.3,"NorthOne
4.3",NY,-1,130000.0,50.0,-1,43.299428,-74.217933,New York
