,index,Job Title,Salary Estimate,,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,size1,size2,state
0,0,Senior Data Scientist,$111K,$181K ,3.5,"Hopper
3.5","New York, NY","Montreal, Canada",501 to 1000 employees,2007,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1,-1,501,1000,NY
1,1,"Data Scientist, Product Analytics",$111K,$181K ,4.5,"Noom US
4.5","New York, NY","New York, NY",1001 to 5000 employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,-1,1001,5000, NY
2,2,Data Science Manager,$111K,$181K ,-1,Decode_M,"New York, NY","New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,TRUE,1,50, NY
3,3,Data Analyst,$111K,$181K ,3.4,"Sapphire Digital
3.4","Lyndhurst, NJ","Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Zocdoc, Healthgrades",-1,201,500, NJ
4,4,"Director, Data Science",$111K,$181K ,3.4,"United Entertainment Group
3.4","New York, NY","New York, NY",51 to 200 employees,2007,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"BBDO, Grey Group, Droga5",-1,51,200, NY
5,5,Data Scientist,$111K,$181K ,2.9,"IFG Companies
2.9","New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI",-1,201,500, NY
6,6,Quantitative Researcher,$111K,$181K ,4.4,"PDT Partners
4.4","New York, NY","New York, NY",51 to 200 employees,1993,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,51,200, NY
7,7,Quantitative Research Associate,$111K,$181K ,-1,Enlightenment Research,"New York, NY","New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,TRUE,1,50, NY
8,8,AI Scientist,$111K,$181K ,5,"Paige
5.0","New York, NY","New York, NY",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,TRUE,1,50, NY
9,9,Quantitative Researcher,$111K,$181K ,4.8,"Jane Street
4.8","New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,501,1000, NY
10,10,Data Scientist,$111K,$181K ,3.9,"Quartet Health
3.9","New York, NY","New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,TRUE,201,500, NY
11,11,Data Scientist/Machine Learning,$111K,$181K ,4.4,"PulsePoint
4.4","New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",-1,51,200, NY
12,12,"Data Scientist, Acorn AI Labs",$111K,$181K ,4.3,"Medidata Solutions
4.3","New York, NY","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),Oracle,-1,1001,5000, NY
13,13,Data Scientist,$111K,$181K ,3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,1001,5000, NY
14,14,Data Scientist - Alpha Insights,$111K,$181K ,4.4,"Two Sigma
4.4","New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,1001,5000, NY
15,15,Data Scientist,$111K,$181K ,3,"Affinity Solutions
3.0","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",TRUE,51,200, NY
16,16,"Data Scientist, Analytics",$111K,$181K ,3.6,"Etsy
3.6","Brooklyn, NY","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD),"Airbnb, Warby Parker, Kickstarter",-1,501,1000, NY
17,17,Data Scientist/ML Engineer,$111K,$181K ,3.3,"PA Consulting
3.3","New York, NY","London, United Kingdom",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"McKinsey & Company, Accenture, Deloitte",-1,1001,5000, NY
18,18,Data Scientist,$111K,$181K ,3.6,"Etsy
3.6","New York, NY","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD),"Airbnb, Warby Parker, Kickstarter",-1,501,1000, NY
19,19,"VP, Data Science",$111K,$181K ,3.9,"7Park Data
3.9","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,51,200, NY
20,20,"Data Scientist, Disney+ Personalization",$111K,$181K ,4,"Walt Disney Co.
4.0","New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1,10000+ employees,, NY
21,21,"Senior Data Scientist, Data Science Operations",$111K,$181K ,3.4,"Squarespace
3.4","New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,1001,5000, NY
22,22,Quantitative Researcher – Intern (US),$111K,$181K ,4.1,"Citadel Securities
4.1","New York, NY","Chicago, IL",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,Virtu Financial,-1,201,500, NY
23,23,Senior Data Engineer (Healthcare Domain experience required),$111K,$181K ,3.4,"Enterprise Integration
3.4","New York, NY","Jacksonville, FL",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1,51,200, NY
24,24,Data Scientist,$111K,$181K ,4.4,"WITHIN
4.4","New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,-1,51,200, NY
25,25,"Data Scientist, Marketplace Economics",$111K,$181K ,3.8,"Spotify
3.8","New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,1001,5000, NY
26,26,Data Scientist,$111K,$181K ,4.1,"Datadog
4.1","New York, NY","New York, NY",1001 to 5000 employees,2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,-1,1001,5000, NY
27,27,Lead Data Scientist,$111K,$181K ,3.3,"Aetna
3.3","New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,10000+ employees,, NY
28,28,"Data Scientist, Personalization",$111K,$181K ,5,"Hungryroot
5.0","New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),-1,-1,1,50, NY
29,29,Principal Data Scientist,$111K,$181K ,3.3,"Aetna
3.3","New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,10000+ employees,, NY
30,32,Data Scientist,$120K,$140K ,4.3,"Caserta
4.3","New York, NY","New York, NY",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,51,200, NY
31,33,"Data Scientist, Decisions",$120K,$140K ,3.7,"Lyft
3.7","New York, NY","San Francisco, CA",5001 to 10000 employees,2012,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,TRUE,5001,10000, NY
32,34,Data Scientist,$120K,$140K ,4.3,"IBG LLC
4.3","New York, NY","Memphis, TN",201 to 500 employees,1990,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD),-1,-1,201,500, NY
